 @grishin памагитиии!	 помог
 давайте закапывать <code> в новом коде. его точно в ukit не смерджат	 пофиксил. есть задача на выпиливание из ulanding из ukit. когда-нибудь избавимся от этого насовсем.
 без ключей возможны дубли сорсов. нужно убедиться, что это не происходит. в теории не должно, т.к. из этих нод теперь формируется <code>.	 обсудили, решили в текущем состоянии оставить ключи и при добавлении ключ сделать обязательным аргументом.
 в соседнем мр (кастом.классы) тут вообще пустая вьюха получилась <link>	 @zubov
 в соседнем мр (кастом.классы) тут вообще пустая вьюха получилась <link>	 если lazyload поедет раньше, то оставляй, я у себя выпилю, что бы не было конфликтов
 в соседнем мр (кастом.классы) тут вообще пустая вьюха получилась <link>	 выпилим в кастомных классах
 @volgin мож выпилим тогда эту ноду отсюда? всё равно пустая получается	 =\ вообще да, в таком виде это тут не нужно. но я не помню, где подключаются эти скрипты, а они нужны. и почему не через viewassets.
 @volgin мож выпилим тогда эту ноду отсюда? всё равно пустая получается	 мы их грузим в <code>
 @volgin мож выпилим тогда эту ноду отсюда? всё равно пустая получается	 не увидел, где в critical <code> грузится.
 @volgin мож выпилим тогда эту ноду отсюда? всё равно пустая получается	 мы его выпилили насовсем
 проверить нафига оно в <code>	 удалил
 <code> нельзя юзать.надо отрефакторить	 пофиксил
 так как ulerror уже починен, то может быть его будем использовать? так хотя бы в кибане будет видно что и где=)	 ну хз нужно ли это в кибану слать.я бы ограничился консолью
 так как ulerror уже починен, то может быть его будем использовать? так хотя бы в кибане будет видно что и где=)	 почему бы и нет)
 так как ulerror уже починен, то может быть его будем использовать? так хотя бы в кибане будет видно что и где=)	 оставлю как есть
 убрать	 нужно вынести в метод, так как будет тяжко дебажить
 убрать	 вынес в переменную
 @volgin @zubov я вроде как все переделал, о чем вы писали, можете еще раз посмотреть плз	 @grishin если конфликты были при вливании стэйбла, то я их порешал
 @volgin @zubov я вроде как все переделал, о чем вы писали, можете еще раз посмотреть плз	 @grishin @glebazarov @amovsunov @zubov @andrew\_kuzmenko нужно ревью, пожалуйста
 @volgin @zubov я вроде как все переделал, о чем вы писали, можете еще раз посмотреть плз	 поставил review_done так как выполнено условие по лайкам
 заменить <code>	 взял в техдолг <link>
 заменить <code>	 чтобы это сделать, надо отдельно подключать лодаш; оно того стоит?
 выглядит очень странно, в модели пустой массив по дефолту, хотя бы комментарий нужен, зачем туда два литерала объекта поместили.	 да, он нужен, чтобы при добавлении новой опции, создавалось два пустых поля со значениями. пустого массива не достаточно.
 не я, так кто-то другой тут напишет о том, что тут сделано=) p.s видел что старый код	 если ты про <code> во внутренние функции, в том числе внутри попапа, я бы не хотел это трогать
 вынести под одно условие <code> надобно бы, как это, так и условие выше	 взял в техдолг <link>
 это бы выпилить	 это все копипаста из другого файла. я не против взять это в техдолг в следующий техспринт, но не вижу никакого смысла рефакторить этот код в рамках данной задачи
 это бы выпилить	 взял в техдолг <link>
 если уже диструктуризацию использовать то <code>	 только имя values
 <code> с дефолтами из модели?	 подумаем
 <code> с дефолтами из модели?	 подумвли
 возможно будет лучше отдавать пустую строку в случае, когда значение priceoption === 'hidden' и в любом другом случае, что бы избежать отображения чего бы то ни было рандомного. ну и что нибудь подобное сделать:<code>и нужно избавиться от дублей в <code>.	 по поводу <code>
 это удалил?	 да
 потеряли ссылку для кнопки	 fixed
 белорусcия by а не bl 😂😂😂😂	 fixed
 ой, ну зачем так копипастить то?) пробелы -> табы пжлста	 помоему не поменял -_-
 ой, ну зачем так копипастить то?) пробелы -> табы пжлста	 и заодно не надо выравнивать значения пожалуйста, потом заолбаемся мёрджить конфликты) и висячие запятые тоже ставь.
 ой, ну зачем так копипастить то?) пробелы -> табы пжлста	 я чет не пойму что на что поменять то надо %)
 ой, ну зачем так копипастить то?) пробелы -> табы пжлста	 ![image]<link>
 <code> не надо экспортить, инкапсулируемс	 вместо <code>;
 там на пару строк ниже все классы в кебаб и снэйк стилях, откуда здесь взялся камелкейс?	 в html так сильно удобнее, а что в css не страшно
 там на пару строк ниже все классы в кебаб и снэйк стилях, откуда здесь взялся камелкейс?	 бардак всегда сильно удобнее, но нужно придерживаться одинакового стиля хотя бы в пределах одного файла
 там на пару строк ниже все классы в кебаб и снэйк стилях, откуда здесь взялся камелкейс?	 ок, поправил
 тут страница копипасты((<code>	 ок, поправил
 -	 *
 -	 *
 для кого русский текст в adcombo?	 пока всю панельку не доделаем нет смысла заливать в переводы, потом всё сделаю
 переменные берём из конфига	 done
 что это это за магия?	 нет тут никакой магии, переделал через классы
 а как оно работает при авторизации, а не регистрации? 🤔	 да, редиректит в конструктор
 а как оно работает при авторизации, а не регистрации? 🤔	 не не, я в плане откуда оно работает при авториации? а то странна как-то, авторизация есть, а кода тут не было.
 а как оно работает при авторизации, а не регистрации? 🤔	 @glebazarov чего оно зависло то?
 а как оно работает при авторизации, а не регистрации? 🤔	 пинх ну вы хоть договорите тут @kopleman
 а как оно работает при авторизации, а не регистрации? 🤔	 ну если работает то ок. интересно как задача потерялась)
 я бы включил если это конструктор для всего. ну то есть какая разница, есть или нет, оно ж в конструкторе не рендерится	 @glebazarov может быть не очень понял, но разве в данном условии не так указано?
 я бы включил если это конструктор для всего. ну то есть какая разница, есть или нет, оно ж в конструкторе не рендерится	 ой, меня затроило, сорян :face\_palm:
 ой, ну мб так уж прям не надо? мб лучше <code>?	 ну а вообще там в <code> надо поменять условие - в конструкторе подключать репортер не обращая внимания на customhtml, он всё равно не вставляется в страницу.
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @voodee
 ой, ну мб так уж прям не надо? мб лучше <code>?	 давайте <code>, что бы если что можно было по логам в кибане ориентироваться, но увы после всего случившегося как-то не хочется уже =(
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @zubov а почему <code>
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @voodee я не знаю, вообще же <code>, там скорей всего в ulerror не срабатывает этот код:<code>
 ой, ну мб так уж прям не надо? мб лучше <code>?	 наверное это появилось где-то после внедрения sentry или sentry для react
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @voodee @glebazarov я могу покопаться в <code>?
 ой, ну мб так уж прям не надо? мб лучше <code>?	 а какой смысл чинить в одном месте, если оно будет падать в остальных местах?![снимок_экрана_от_2019-04-15_16-27-49]<link>
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @voodee давайте тогда не катить этот мр, а чинить глобально проблему, можно даже в этой задаче
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @zubov мне нравится эта идея
 ой, ну мб так уж прям не надо? мб лучше <code>?	 @voodee @glebazarov починил ulerror, прошу посмотреть на код, заранее спасибо)
 @voodee @grishin	 автоок (с)
 @voodee @grishin	 залито в stable
 просто божественный <code>	 @voodee
 просто божественный <code>	 дедовский способ)
 и включить бы рендер в дашборде для сайтов с скачтомным кодом	 @grishin включим в отдельной задаче, тут чисто фикс проблемы.
 треш	 тех долг для черного бушлата, зайти сразу после смерти скрама, когда выжженное поле программистов остынет
 @glebazarov коммент только оставь тут, где используется этот флаг и для чего.	 добавил)
 саморевью (с)	 авто ок (с)
 а точно там все эти вложенные объекты есть?	 ага, scope.data заполняется парой строк выше из model/page/publish.js:1205
 давай это вытащим в отдельный файл и покроем unit тестом, а? пингани меня, я покажу как, что да куда	 давай, в личку
 давай это вытащим в отдельный файл и покроем unit тестом, а? пингани меня, я покажу как, что да куда	 вынес в техдолг <link>
 а чего сразу не заменить? о_о	 в этих виджетах проблем не наблюдалось - поэтому и не трогал. но когда искал код, под "grep" поиска попадались эти виджеты.
 а чего сразу не заменить? о_о	 ну и что что в кейсах не было? оно ж явно должно повторятся
 а чего сразу не заменить? о_о	 пусть костя проверит в рамках тестирования, опиши в задачу список виджетов для тестирования
 мммм... а зачем оставил?	 <code>
 @grishin	 @maxim_ja
 @grishin	 @nardyuzhev
 test	 hook test 2
 test	 test discussion
 @voodee	 #поперёкрегламента #тутявнонечегоревьювить
 <code> 😂	 надо еще симлинку сделать ./temp -> ./temporary
 <code> 😂	 так лучше не делать - у него в /tmp уже подмонтирована по умолчанию memfs. внутри контейнера класть в <code>
 <code> 😂	 и <code>
 <code> 😂	 /tmp в контейнере уже есть, чтобы не создавать еще одну папку в корне сделал так.
 <code> 😂	 не вижу там никакого memfs/ # mount| grep '/tmp'/ # df -h | grep '/tmp'временные файлы - это не то же самое что кэш/nginx-small-light/temp - считаю достаточно понятным/явным/nginx-small-light/.small-light-cache - мне кажется громоздким, а скрытость этой папки больше принесет неудобств чем удобств
 <code> 😂	 нет, я про то что у тебя папка <code>, иначе будут глюки из-за моунта внутри моунта.
 <code> 😂	 я тоже про этоназвание - норм, скрытость папки не нужна, моунта внутри моунта не наблюдается.ну или покажи/объясни где моунт, зачем дублировать в названии название вышестоящей папки и зачем скрывать эту папку
 <code> 😂	 скрывать папку временных данных - хороший тон
 <code> 😂	 если не хочешь - не скрывай, но папку нормально назови.
 <code> 😂	 <code> сам по себе моунт по внутреностям containerd.
 <code> 😂	 см дискуссию ниже
 <code> 😂	 <code> мне по прежнему не нравится, это cache, но хоть так, пусть будет
 <code> 😂	 да не кэш это, а temp-файлы конвертации. нету там кэша никакого. он есть только в основном нгинксе (вышестоящем).
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 ой глеб, не надо этих педальных приводов
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 давай тэ уже в бою зеленки не раскладывать?
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 ой, ну вам же лень запускать compose с аргументами
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 как билдить осталось в docker-compose.dev.yml
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 афигенно, и тем не менее, там для дева
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 dockerfile там есть. тот кто забудет как написать 'build: ./' пусть первый бросит в меня камень.
 давай это лучше закоментируем вместо того что бы просто удалять. а то потом будем сидеть вспоминать как сбилдить.	 ладно, пусть будет так, хотя оно из dev уже выпилено в другой ветке.
 и да, @root, нельзя просто взять поставить все лэйблы на своё усмотрение, тебе нужен тут был только <code> - вообще лэйбл для админки, а не для сисадминов)	 где написано что можно/нелья? я натыкал интуитивно
 и да, @root, нельзя просто взять поставить все лэйблы на своё усмотрение, тебе нужен тут был только <code> - вообще лэйбл для админки, а не для сисадминов)	 в описании label вестимо написанно <link>
 и да, @root, нельзя просто взять поставить все лэйблы на своё усмотрение, тебе нужен тут был только <code> - вообще лэйбл для админки, а не для сисадминов)	 и в заголовок имя задачи. неужели так сложно было посмотреть на соседние мёрджи.
 и да, @root, нельзя просто взять поставить все лэйблы на своё усмотрение, тебе нужен тут был только <code> - вообще лэйбл для админки, а не для сисадминов)	 задачу в название внес, про лейблы буду теперь знать.
 а у нас же есть папка <code>?	 а, это в сервисе, блиин
 @voodee	 @voodee посмотри, пожалуйста.
 на будущее именование лучшеделать понятнее, например <code>	 это всё прекрасно, но у нас есть <code>
 а это точно нужно, давай <code> из проверок, м?	 можно и так. лишний <code> мне глаз мозолит просто.
 идея хорошая <code>реализация resourceurl с мапой:<code>	 и подозреваю с <code> и от проекта
 идея хорошая <code>реализация resourceurl с мапой:<code>	 ctx мне известен во время рендеринга, внутри viewhelper'а. там фишка в том что бывают ресурсы юкита, и ресурсы сайта. от того используются разные версии. по дефолту используется версия проекта.
 идея хорошая <code>реализация resourceurl с мапой:<code>	 >от того используются разные версии. по дефолту используется версия проекта. > ну идея как и вынести в мап эту дичь, для юлендинга одно, для юкита другое
 @glebazarov @grishin	 не, @grishin ты не понял, эту ветку надо закопать и для tpl собрать от stable с нуля, иначе потом конфликты никогда не разрулим. я говорил залить сначала stable на tpl - но спешили в бой и вот так вот решили протестить.
 @glebazarov @grishin	 @glebazarov  хорошо, тогда поставте на нее флаг wip, чего душу травить
 надеюсь тут индексы не перепутаются, а то у нас была разница между продом и tpl	 ну вроде сейчас tpl работает как надо)
 надеюсь тут индексы не перепутаются, а то у нас была разница между продом и tpl	 ну эта ветка в бою tpl уже почти месяц, пока жалоб не было
 надеюсь тут индексы не перепутаются, а то у нас была разница между продом и tpl	 только шаблоны еще от туда не заезжали в бой) проверим.. я ж не против
 не так	 @craneandrey
 @zubov @amovsunov поправьте за собой, часть от <link>	 не понял про конструктор и customhtml: ulerror же подцепляется в этом файле <link>
 @zubov @amovsunov поправьте за собой, часть от <link>	 условие да - проебано было.
 <code>	 изменение без изменения?)
 здесь тоже.	 ulerror впилил
 ulerror или выпилить	 впилил ulerror
 давайте это починим: будет сломан кэш когда-то).	 сделал
 @voodee @grishin	 @voodee @grishin посмотрите, пожалуйста.
 @voodee @grishin	 ну тут роман владеет всей силой, он же фея фронтенд))  ps соглашусь <code> это выглядит опасно , а можно как-то специфичность добавить к этому селектору, что б знать где размещать может?
 @voodee @grishin	 каждый виджет оборачивает в ссылку своим способом. насколько помню, пробовал добавить специфичности, но не увенчалось успехом. что-то где-то "проваливается" всё равно.
 как-то опасно выглядит. может что-то лишнее зацепить.	 в текущем состоянии якори детектить на странице невозможно другим способом, нет единого интерфейса. задачу на этот самый интерфейс нам никто не даст. либо это :( сейчас, либо без этого.
 как-то опасно выглядит. может что-то лишнее зацепить.	 @grishin зацепить что-то может. что именно сложно сказать. "дорого и богато" не получится без единого интерфейса якорей. задача лежит уже месяц.
 раньше сюда приезжали редиректы без типа <code>, и фильтрация работала адекватно. теперь при публикации будут затираться уже сгенерированные авторедиректы.	 убрали фильтрацию и метод <code>, теперь при публикации идёт полная сборка редиректов с юзерскими редиректами и дёргается метод в схеме savelist
 @glebazarov @grishin нужен ревью, заранее спасибо)	 @went нужен ревью, заранее спасибо)
 @glebazarov @grishin нужен ревью, заранее спасибо)	 эмм...  допустим я примерно понял, что там написано.  lgtm...
 @glebazarov @grishin нужен ревью, заранее спасибо)	 @went если ревью сделал, ставь лайк наверху 👆🏻
 точно <code>?  это ж фронт	 да, у нас же бабелификация=)
 прикрутить все таки валидацию, она не помешает.	 не совсем уверен что она тут нужна, так как автоматические редиректы изначально валидные, а если пользователь меняет поле, то и меняется с ним тип поля на <code>, тем самым оно не записывается в список удалённых редиректов
 переименовать поле на более понятное имя <code>?	 <code>
 переименовать поле на более понятное имя <code>?	 переименовал
 нужен ли <code>??	 нужен
 нужен ли <code>??	 добавил
 исправить на более ясны комментарий	 убрал этот метод
 давай вообще попробуем обойтись без запихивания в <code> списка редиректов. по идее можно выше перенести почти всё содержимое callbackify и там разрулить локально	 сделал
 на фронте передать как один объект и парсить его одним методом выше, а не двумя	 сделал
 убрать сохранение контекста	 исправил
 при редактировании системного редиректа юзером надо менять <code>	 сделал
 в дискриминаторах нет lazyload?	 ![image]<link>
 в дискриминаторах нет lazyload?	 в ощем тут будет так, и всё, т.к. fbimport отличался от остального
 ой, давай если и избавляться от <code> выглядит ну очень стремно	 я тоже за нормальные относительные пути <code>
 ой, давай если и избавляться от <code> выглядит ну очень стремно	 @kbubyakin, бери пример с @grishin  критикуешь -- предлагай, ёба!  твои предложения выглядят как:  -- ой, ну, чота мне не нравятся эти шрифты и цвета, на них мало штаны подвёртуны.  -- "нарисуй мне 5 цветных линий"  поэтому и доверия к ним нет, и желания делать что-то тоже нет, т.к. выглядит как просто "а можно я тухлыми яйцами позакидываю"? можно, конечно, но... в ощм "ты понел".  и, да, у меня и в мыслях не было избавляться от <code> -- какие-то выводы необоснованные. но, так -- да, отсутствие <code> мне и самому не нравится. ща чонить изобрету.у пети конкретно написано, что именно он хочет видеть.
 ой, давай если и избавляться от <code> выглядит ну очень стремно	 <code> сам по себе принимает путь, поэтому просто используем его и всё, не надо делать две дополнительных обёртки
 нафига это все экспортить?	 для тестов и если нужно будет что-то специфичное достать/положить.  лучше иметь заранее заготовленные возможности, чем потом их странными способами изобретать.  там есть место для скорого re-factoring'а, но я пока ещё не додумал.
 #тестынамявноненужны	 поревьювил всё кроме <code>, его сейчас сил ревьювить нет, я спат.
 #тестынамявноненужны	 @glebazarov @kbubyakin ревью плиз
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 @glebazarov а сейчас прошло?
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 оно теперь скорее всего неверно "ходит"  т.к. теперь же конфиг старыйнадо как-то всё же сделать для тестов * и старый* и новый
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 ага, прошло:![image]<link>
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 а вот тут можно посмотреть историю запусков на каждый push:![image]<link>
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 а по поводу "оно теперь скорее всего неверно "ходит"" - я если честно не очень понял что ты имеешь ввиду, я пока слегка сонный. сейчас же выключен lazy load до ручного включения флага.
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 а запускать ли тесты и с тем и с тем состоянием флага мы подумаем, скорей всего мы в тестах через некоторое время включим по умолчанию, потому что есть планы по переезду на jest, а он запускает пачки тестов в разных процессах и мы присядем если он будет e по десять раз грузить (для чего мы собсна и делали).
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 запускать тесты без флага не очень вижу смысла, на регрессах и в бою протестим 😜
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 @glebazarov я запустил тесты без флага, и оно снова упало на интеграции  пока хз чо там, не могу оценить масштаб трагедии
 на этой строке упал один единственный работающий интеграционный тест 😲ну хоть кому-то он пригодился 😳	 эти тесты поправил, резолвлю
 <code>	 applied
 зачем так?) витя, привыкни уже, require сам подставляет нужные слэши, можно писать просто <code>	 можно то и так оставить, зачем только старый код писать)
 зачем так?) витя, привыкни уже, require сам подставляет нужные слэши, можно писать просто <code>	 оно без этого просто не работает
 думаю владелец этого ты, мб удалим?)	 <code>
 думаю владелец этого ты, мб удалим?)	 не, не я, лёха, наверное, но да, ок
 так делать уже давно-давно не надо) достаточно <code>.	 <code>
 так делать уже давно-давно не надо) достаточно <code>.	 давай уж если удалять, то до конца 😅<code>
 а там точно не может быть png ? или jpeg	 не у нас jpeg
 а вот ето случайно или преднамеренно приехало?	 если лайк есть - то наверно норм
 а вот ето случайно или преднамеренно приехало?	 нуок (с)
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 и обзывай пожалуйста merge request'ы нормально, так как тут - не пойдёт. номер задачи как в имени ветки + двоеточее + summary.
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 вопрос на ответ на второй вопрос: т.е. я пишу описание для боевого pm2, и при выкате оно туда ручками попадает?
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 @timon если ты хочешь получать ревью быстрее - то во первых когда поправил замечание в дискуссии пиши в неё что-нибудь типа "fixed" и резолви, а то потом на ревью приходится по дифу ходить-сравнивать, починил ты это или нет. на не забывай, что ответсвенность после этого лежит на тебе - за тихое закрывание дискуссий будет административное ничего 😉 ну а если не понравится как пофиксил - переоткроем дискуссию, ничего страшного.во вторых, когда дочинил что тебе тут написали (сейчас не этот случай, на будущее) - снимай label "need refactoring", а то без погружения в mr не ясно, пофиксил ты тут или нет.в третьих ревью можно ускорить упомянув меня или петю через @ в коментарии, если ты видишь что на твои правки и fixed не обратили должного внимания.
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 когда задаёшь вопрос лучше писать не комментарий, а дискуссию начинать - рядом с кнопкой "comment" есть треугольничек в котором можно стартануть дискуссию.собсна я этим воспользуюсь и задам вопрос: зачем ты засунул pm2 json сюда, в mr? ты видел специальное поле в задаче в jira?
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 про дискусию понял. про pm2 json - какое специальное поле? план выкатки?
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 да, он самый
 ответ на второй вопрос - оформлять в план выкатки задачи, мы добавим в общий pm2.json для деплоймента, будет там жить и оттуда запускаться.	 @glebazarov посмотри что ещё осталось, я даже тесты на http-слой написал. как затестировать слой отправки (мокнуть очередь) - я не понял
 конечно нельзя, так ошибки в unhandled rejection вывалятся, надо обернуть в bluebird.callbackify (грепни по коду для примеров)	 это тебе лень было грепать или ты не нашёл?)model/page/publish.js:548(наверху <code> <link>
 конечно нельзя, так ошибки в unhandled rejection вывалятся, надо обернуть в bluebird.callbackify (грепни по коду для примеров)	 но и с waterfall это сходится, только если там один аргумент едет по водопаду.
 конечно нельзя, так ошибки в unhandled rejection вывалятся, надо обернуть в bluebird.callbackify (грепни по коду для примеров)	 не вижу пока смысла оставлять async/await код в cb-коде. проще оставить так, отложив переписывание всего метода модели сайта на async/await как техдолг
 к этому моменту ответ об успешности/неуспешности задачи уже ушёл в очередь, если тут вывалится ошибка, то retry не будет. подумай над этим в контексте axios'а внизу.	 а зачем он ушёл? из http-сервиса был вызов без потдверждения же. не понял связи с axios. внизу есть put-запрос, который в зависимости от успешности/неуспешности задачи пишет в http-сервис статус
 к этому моменту ответ об успешности/неуспешности задачи уже ушёл в очередь, если тут вывалится ошибка, то retry не будет. подумай над этим в контексте axios'а внизу.	 ну в <code>, а тут оставим только необязательное - логирование.
 к этому моменту ответ об успешности/неуспешности задачи уже ушёл в очередь, если тут вывалится ошибка, то retry не будет. подумай над этим в контексте axios'а внизу.	 принято
 мы обычно не втыкаем так <code> на c1 используется). зачем оно тут вот так? сразу из .env? мы уже +- ушли от .env, а вообще это надо делать в самом ulight.conf	 вмысле ушли от .env? кто и когда может рассказать про это?
 мы обычно не втыкаем так <code> на c1 используется). зачем оно тут вот так? сразу из .env? мы уже +- ушли от .env, а вообще это надо делать в самом ulight.conf	 рассказать могу я и петя, посмотреть можно в !3632
 такое вообще надо вытаскивать в отдельный экшен, хандлеры должны быть максимально тупыми, без логики.	 что в твоей терминологии в контексте amp-rpc ты называешь экшеном?
 такое вообще надо вытаскивать в отдельный экшен, хандлеры должны быть максимально тупыми, без логики.	 это название мы когда-то давно придумали в процессе рефакторинга site grant'а. по факту это просто название для статического метода в модели (или в отдельном компоненте/модуле) с суффиксом <code>, который является router-agnostic контроллером. то есть в сервисе у тебя остаётся только вызов нужно метода, в экшене - вызов нужных методов. при этом снаружи в этот метод прилетают только id/параметры, работа с моделями ведётся только внутри. таким образом экшен можно одной-двумя строчками дёргать из любого места без завязки на роутинг - express, worker, cli, cron.пример можно посмотреть в site.publishactionasync (примерно model/site/publish.js:100).
 ой, давай тут без log.stat'а, нафиг он нужен, все логи в кибане	 logger.error и logger.infoты ж видел как в публикации сделано
 ой, давай тут без log.stat'а, нафиг он нужен, все логи в кибане	 remove it
 ой, давай тут без log.stat'а, нафиг он нужен, все логи в кибане	 так их достаточно? и к кому идти чтобы логи сервиса копирования сайта попали в кибану?
 ой, давай тут без log.stat'а, нафиг он нужен, все логи в кибане	 я тут проверил, просто так без log.stat-а не обойтись. у нас в админке саппорта есть действие - показ действий саппорта. и там нужен лог копирования сайта. пока думаю как это сделать, поскольку для лога нужны данные (userid, ip, useragent). проблема в том, что они есть только на стороне админки саппорта)
